grupo_id,n_registros,codigos,establecimiento_representativo,niveles,nombre_generico_sospechoso
398,13,"00-18-0026-43, 00-18-0028-42, 00-18-7592-42, 00-18-7593-43, 00-18-7594-43, 00-18-7595-45, 00-18-7596-46, 00-18-7658-46, 00-18-7659-44, 00-18-7660-45, 00-18-7662-45, 00-18-7663-44, 00-18-8653-46",LICEO AMERICANO TECNOLOGICO DE COMPUTACION,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA, PRIMARIA DE ADULTOS",False
3683,13,"18-04-0188-43, 18-04-0189-43, 18-04-0190-44, 18-04-0191-45, 18-04-0192-45, 18-04-0193-46, 18-04-0194-46, 18-04-0195-46, 18-04-0217-45, 18-04-0218-46, 18-04-0237-44, 18-04-0487-45, 18-04-0488-46",LICEO IZABAL,"BASICO, DIVERSIFICADO, PRIMARIA, PRIMARIA DE ADULTOS",False
461,13,"00-21-0001-46, 00-21-0066-42, 00-21-0067-45, 00-21-0068-42, 00-21-0069-43, 00-21-0070-45, 00-21-0071-43, 00-21-0072-45, 00-21-1122-43, 00-21-2314-42, 00-21-2594-45, 00-21-8141-46, 00-21-9118-45","LICEO MIXTO CRISTIANO ISRAEL, SOCIEDAD ANÓNIMA","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1717,13,"05-06-0034-46, 05-06-0035-46, 05-06-0051-46, 05-06-0064-43, 05-06-0065-45, 05-06-0066-46, 05-06-0077-42, 05-06-0083-46, 05-06-0099-46, 05-06-0113-46, 05-06-0114-45, 05-06-0135-45, 05-06-0136-46","COLEGIO PRIVADO MIXTO ""BENDICIÓN DEL SABER""","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1806,13,"05-13-0072-46, 05-13-0073-46, 05-13-0074-46, 05-13-0097-46, 05-13-0113-45, 05-13-0114-46, 05-13-0850-43, 05-13-0851-42, 05-13-2546-46, 05-13-2547-46, 05-13-2548-45, 05-13-2791-46, 05-13-2965-45","CENTRO PEDAGOGICO ""GUATEMALA""","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
2395,13,"11-08-0049-42, 11-08-0050-43, 11-08-0051-45, 11-08-0052-46, 11-08-0053-45, 11-08-0054-46, 11-08-0055-45, 11-08-0056-46, 11-08-0057-45, 11-08-0058-46, 11-08-0059-46, 11-08-0076-45, 11-08-0077-46",COLEGIO CRISTIANO EDUCOM,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1683,13,"05-02-0033-45, 05-02-0034-46, 05-02-0042-45, 05-02-0045-46, 05-02-0046-45, 05-02-0055-46, 05-02-0058-46, 05-02-0072-46, 05-02-0250-45, 05-02-0251-46, 05-02-2900-42, 05-02-2901-43, 05-02-2903-45",LICEO MIXTO SAN JOSE,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1681,13,"05-02-0043-46, 05-02-0044-46, 05-02-0099-45, 05-02-0219-45, 05-02-0220-46, 05-02-0221-45, 05-02-0221-46, 05-02-0249-45, 05-02-1878-46, 05-02-2313-46, 05-02-2710-46, 05-02-2744-45, 05-02-2971-46",COLEGIO MIXTO COTZUMALGUAPA,"BASICO, DIVERSIFICADO",False
2430,13,"12-02-0045-45, 12-02-0172-46, 12-02-0173-46, 12-02-0183-45, 12-02-0184-45, 12-02-0185-45, 12-02-0186-46, 12-02-0187-46, 12-02-0188-46, 12-02-0189-46, 12-02-0200-46, 12-02-3695-46, 12-02-4737-46","COLEGIO PARTICULAR ""LICEO MINERVA""","BASICO, DIVERSIFICADO",False
3677,13,"18-04-0171-42, 18-04-0172-43, 18-04-0173-45, 18-04-0174-46, 18-04-0175-45, 18-04-0176-46, 18-04-0177-46, 18-04-0225-43, 18-04-0226-45, 18-04-0227-45, 18-04-0228-46, 18-04-0502-45, 18-04-0503-46","LICEO ""ALVAREZ OVALLE""","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
296,13,"00-12-0112-45, 00-12-0113-45, 00-12-0114-46, 00-12-0115-46, 00-12-0116-46, 00-12-0162-43, 00-12-0163-45, 00-12-0164-46, 00-12-0165-46, 00-12-0166-46, 00-12-3017-45, 00-12-4073-43, 00-12-7313-46",LICEO NAZARENO,"BASICO, DIVERSIFICADO, PRIMARIA",False
2244,12,"10-01-0072-42, 10-01-0075-45, 10-01-0106-46, 10-01-0274-46, 10-01-0301-46, 10-01-0331-45, 10-01-0332-45, 10-01-0333-46, 10-01-0334-46, 10-01-0365-45, 10-01-0380-46, 10-01-2684-43",COLEGIO LATINOAMERICANO GOSPEL,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
